,category,language,likes,published_at,sentiment,subcategory,text,clean_text
2793,Irony,Swahili,23,2025-07-29T08:01:34Z,Neutral,Mock Laughter,Shangwee halleluyaa😂😂😂😂,shangwee halleluyaa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2794,Offensive,Kenyan_slang,1,2025-07-29T07:49:21Z,Negative,Non-personal,Illuminati wedding,illuminati wedding
2795,Others,Kenyan_slang,5,2025-07-29T07:45:06Z,Neutral,General Others,That part really got mi 😅😅😅😂,that part really got mi grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat face_with_tears_of_joy
2796,Irony,Kenyan_slang,2,2025-07-29T07:32:09Z,Negative,Mock compliment,Kenya ni motoi😅😅😅😅😅,<person> ni motoi grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
2797,Irony,Kenyan_slang,8,2025-07-29T07:31:45Z,Positive,Mock compliment,Na usisahau wengi wao walikuwa mboka😂😂😂,na usisahau wengi wao walikuwa mboka face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2798,Offensive,Kenyan_slang,1,2025-07-29T07:15:48Z,Negative,Sex-based,@mzagatas si angewachafulia nmemuona apo kw wana choir 😅😅🤣,<person> si angewachafulia nmemuona apo kw wana choir grinning_face_with_sweat grinning_face_with_sweat rolling_on_the_floor_laughing
2799,Constructive,Kenyan_slang,17,2025-07-29T06:27:30Z,Positive,Genuine Praise,Bora wameoana na bi harusi ni mrembo mashallah 🤗😂,bora wameoana na bi harusi ni mrembo mashallah smiling_face_with_open_hands face_with_tears_of_joy
2800,Others,English,3,2025-07-29T06:26:22Z,Neutral,General Inquiry,Presenter were you a student at Barton university?,presenter were you a student at barton university?
2801,Constructive,Kenyan_slang,6,2025-07-29T06:21:09Z,Positive,Genuine feedback,Alf kuna wenye wanasema hii haikua harusi ilikuwa maandamano😅,alf kuna wenye wanasema hii haikua harusi ilikuwa maandamano grinning_face_with_sweat
2802,Irony,Kenyan_slang,4,2025-07-29T06:07:36Z,Negative,Mock compliment,Weeeee Hawa wote wanakaa TU wakaa kambjeshi ya 2001huko noma dandora,wee hawa wote wanakaa tu wakaa kambjeshi ya 2001huko noma dandora
2803,Irony,Kenyan_slang,13,2025-07-29T06:00:15Z,Negative,Mock Laughter,Shangwe hallelujah 😂😂😂😂wueh,shangwe hallelujah face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy wueh
2804,Constructive,Kenyan_slang,3,2025-07-29T05:56:06Z,Positive,Supportive Speech,"God siku zombo❤
Ndo maana mm nakutambua😊😊",god siku zombo red_heart ndo maana mm nakutambua smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes
2805,Constructive,Kenyan_slang,1,2025-07-29T05:28:23Z,Positive,Genuine Praise,Siku zombo man,siku zombo man
2806,Constructive,Kenyan_slang,4,2025-07-29T05:07:06Z,Negative,Decision-criticism,Huyu na hii ulevi atagogewa  anafikiria ndoa ni raisi ivo,huyu na hii ulevi atagogewa anafikiria ndoa ni raisi ivo
2807,Others,Kenyan_slang,0,2025-07-29T05:00:54Z,Neutral,General Inquiry,Hawakusign marriage certs,hawakusign marriage certs
2808,Irony,Kenyan_slang,5,2025-07-29T03:20:07Z,Negative,Mock Laughter,𝒀𝒂𝒂𝒏𝒊 𝒎𝒃𝒐𝒈𝒊 𝒚𝒐𝒕𝒆 𝒊𝒎𝒆𝒕𝒆𝒊😂😂😂😂,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2810,Offensive,Kenyan_slang,33,2025-07-29T01:04:19Z,Negative,Vulgar language (Matusi),Huyu ndio alipewa tender ya goons mobilizing akawascam 😂. Thought was some rich kid.,huyu ndio alipewa tender ya goons mobilizing akawascam face_with_tears_of_joy . thought was some rich kid.
2811,Constructive,Kenyan_slang,1,2025-07-28T22:36:48Z,Neutral,Performance-based,Wueee!,wueee!
2812,Constructive,Kenyan_slang,5,2025-07-28T22:19:11Z,Positive,Genuine Praise,😂😂😂😂😂 wakudumu siku zombo 🤣🤣🤣,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy wakudumu siku zombo rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
2813,Harmful,Kenyan_slang,44,2025-07-28T22:05:07Z,Neutral,Misleading/Contextual Deception,Huyu akosi ako kwa kikosi cha damuu kumwagwa believe me guys 🙏🙏,huyu akosi ako kwa kikosi cha damuu kumwagwa believe me guys folded_hands folded_hands
2814,Irony,Kenyan_slang,2,2025-07-28T22:04:07Z,Negative,Mock Laughter,Narrator is funny😂😂😂,narrator is funny face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2815,Others,Kenyan_slang,8,2025-07-28T22:01:53Z,Neutral,General Inquiry,Izo chein nizaaa😢😢😢,izo chein nizaaa crying_face crying_face crying_face
2816,Offensive,Kenyan_slang,7,2025-07-28T21:45:57Z,Negative,Sex-based,Kudinye kudinye kutombe kutombe waaah aki Kuna watu hukasirika kweli😂😂😂😂😂,kudinye kudinye kutombe kutombe waaah aki kuna watu hukasirika kweli face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2817,Constructive,English,1,2025-07-28T21:35:21Z,Neutral,Decision-criticism,Funny...,funny...
2818,Irony,Kenyan_slang,1,2025-07-28T21:16:24Z,Negative,Mock compliment,Mary in the house😂,<person> in the house face_with_tears_of_joy
2819,Constructive,Kenyan_slang,4,2025-07-28T20:50:56Z,Negative,Decision-criticism,Ady akuna dem kushika neti,ady akuna dem kushika neti
2820,Constructive,Kenyan_slang,5,2025-07-28T20:50:09Z,Positive,Genuine Praise,Zetuzetu🎉,zetuzetu party_popper
2821,Constructive,English,1,2025-07-28T20:44:36Z,Positive,Supportive Speech,True love exist,true love exist
2822,Others,Kenyan_slang,7,2025-07-28T20:36:36Z,Neutral,Spam,Haya munipige sapoti pia ❤😂😂,haya munipige sapoti pia red_heart face_with_tears_of_joy face_with_tears_of_joy
2823,Irony,Kenyan_slang,4,2025-07-28T20:15:17Z,Negative,Mock compliment,Their kids watching the wedding 😂😂😂,their kids watching the wedding face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2824,Constructive,Kenyan_slang,2,2025-07-28T20:01:04Z,Neutral,Supportive Speech,Hii ndo ukweli Io ingine ni pr... Si matanga pekee tunaingia tukiwa walevi,hii ndo ukweli io ingine ni pr... si matanga pekee tunaingia tukiwa walevi
2825,Irony,Kenyan_slang,2,2025-07-28T19:59:41Z,Negative,Mock compliment,😅😅😅😅awa watu wameiva mbaya😂😂😂😂,grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat awa watu wameiva mbaya face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2826,Irony,Kenyan_slang,5,2025-07-28T19:52:09Z,Negative,Mock compliment,Hope Ivano hakuwa 😂😂😂😂😂😂,hope <person> hakuwa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2827,Irony,Kenyan_slang,2,2025-07-28T19:51:24Z,Negative,Rhetorical Question,Nanikashanga aje iyo dei supplies zilidelay😂😂😂,nanikashanga aje iyo dei supplies zilidelay face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2828,Constructive,Kenyan_slang,2,2025-07-28T19:42:12Z,Neutral,Decision-criticism,Genz wedding song very soon,genz wedding song very soon
2829,Others,Kenyan_slang,3,2025-07-28T19:12:04Z,Neutral,General Others,Hio mbogi ndo walikua wana kanisa sasa,hio mbogi ndo walikua wana kanisa sasa
2830,Irony,Kenyan_slang,3,2025-07-28T18:50:04Z,Negative,Mock compliment,This was crazy😂,this was crazy face_with_tears_of_joy
2831,Others,Kenyan_slang,6,2025-07-28T18:41:13Z,Neutral,Spam,Weeeee🎉 upcoming YouTubers gather here nipitie nikupitie we grow together 🎉,wee party_popper upcoming youtubers gather here nipitie nikupitie we grow together party_popper
2832,Constructive,Kenyan_slang,2,2025-07-28T17:59:17Z,Neutral,Decision-criticism,Rich people problem,rich people problem
2833,Irony,Kenyan_slang,4,2025-07-28T17:57:17Z,Negative,Mock compliment,Tunangoja pedi alete mali kumbe msee anashikanishwa,tunangoja pedi alete mali kumbe msee anashikanishwa
2834,Irony,Kenyan_slang,8,2025-07-28T14:23:43Z,Negative,Mock compliment,kama si hivi heri ikae😅,kama si hivi heri ikae grinning_face_with_sweat
2835,Others,Kenyan_slang,237,2025-05-06T07:02:14Z,Neutral,General Inquiry,Who do you want on the next show?,who do you want on the next show?
2836,Constructive,Kenyan_slang,0,2026-02-13T06:18:11Z,Neutral,Performance-based,😂😂culture heee ziii ... He is never serious my best comedian,face_with_tears_of_joy face_with_tears_of_joy <person> heee ziii ... he is never serious my best comedian
2837,Constructive,Kenyan_slang,0,2026-01-18T19:07:41Z,Neutral,Performance-based,Imagine Sasa watoto wao wakiona hizi 😢,imagine sasa watoto wao wakiona hizi crying_face
2838,Offensive,Kenyan_slang,0,2026-01-14T08:07:24Z,Negative,Vulgar language (Matusi),Poor sabrina,poor <person>
2839,Irony,Kenyan_slang,0,2026-01-09T22:14:17Z,Negative,Mock compliment,😂😂😂😂😂Ausio,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy ausio
2840,Harmful,Kenyan_slang,0,2026-01-09T10:54:12Z,Negative,Gender based,Me here in 2026 after wedding eeiii😂😂😂fear men guys,me here in 2026 after wedding eeiii face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy fear men guys
2841,Irony,Kenyan_slang,0,2026-01-07T05:52:20Z,Negative,Mock compliment,Mdomo imemuokoa,mdomo imemuokoa
2842,Others,Kenyan_slang,20,2026-01-06T11:09:29Z,Neutral,General Inquiry,Nani ako hapa 2026 from tiktok? Weka like.,nani ako hapa 2026 from tiktok? weka like.
2843,Constructive,Kenyan_slang,0,2026-01-06T03:41:02Z,Neutral,Supportive Speech,I think one of them had UTI then one isn't informed about this things..wakaenda tu na jina kaswende,i think one of them had uti then one isnt informed about this things..wakaenda tu na jina kaswende
2844,Cyberbullying,Kenyan_slang,1,2026-01-05T20:16:34Z,Negative,Direct Insult,Hanaah na kimdomo,hanaah na kimdomo
2845,Irony,Kenyan_slang,0,2026-01-05T19:05:32Z,Negative,Mock compliment,Sahiyo culture hanyonywi😂,sahiyo <person> hanyonywi face_with_tears_of_joy
2846,Constructive,Kenyan_slang,0,2026-01-05T18:12:13Z,Neutral,Performance-based,Hi obinnna,hi obinnna
2847,Irony,Kenyan_slang,1,2026-01-05T07:52:28Z,Negative,Mock Laughter,Aki kalija ww 😂😂😂😂,aki kalija ww face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2848,Constructive,Kenyan_slang,1,2026-01-05T05:13:22Z,Neutral,Genuine feedback,Am here after wedding,am here after wedding
2849,Irony,Emoji,0,2026-01-04T20:38:47Z,Negative,Mock Laughter,🤣🤣🤣🤣,rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
2850,Cyberbullying,Kenyan_slang,0,2026-01-04T11:23:16Z,Negative,Defamation,sabrina ni mature hanna na jamaa wake they are acting like kids,<person> ni mature hanna na jamaa wake they are acting like kids
2851,Offensive,Kenyan_slang,0,2026-01-04T11:21:54Z,Negative,Vulgar language (Matusi),huyo jamaa ni mtoto sana,huyo jamaa ni mtoto sana
2852,Constructive,English,17,2026-01-04T00:45:41Z,Neutral,Genuine feedback,Coming back here after Samir wedding. Weeks after Hannah giving birth,coming back here after <person> wedding. weeks after <person> giving birth
2853,Others,Kenyan_slang,0,2026-01-03T17:57:37Z,Neutral,General Inquiry,So uku bdo Hannah alkuwa na bol ya two ama three months 😢😢,so uku bdo <person> alkuwa na bol ya two ama three months crying_face crying_face
2854,Offensive,Kenyan_slang,0,2025-12-23T07:16:00Z,Negative,Vulgar language (Matusi),"Watu wa kusema maturity iko kwa Sabrina hamjui meaning ya maturity, that lady looks like a pretender 😏😏😏","watu wa kusema maturity iko kwa <person> hamjui meaning ya maturity, that lady looks like a pretender smirking_face smirking_face smirking_face"
2855,Cyberbullying,Kenyan_slang,0,2025-11-26T17:56:34Z,Negative,Direct Insult,Hannah is very stupid,<person> is very stupid
2856,Irony,Kenyan_slang,0,2025-11-07T03:58:48Z,Negative,Mock compliment,Mambo ya wanawake utakufa vibaya sana 🤣🤣🤣,mambo ya wanawake utakufa vibaya sana rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing
2857,Constructive,Kenyan_slang,1,2025-10-16T21:51:02Z,Neutral,Genuine feedback,😂😂😂😂huku nje Watu mnashare Watu na hamna stress,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy huku nje watu mnashare watu na hamna stress
2858,Irony,Kenyan_slang,0,2025-10-16T21:46:03Z,Negative,Mock compliment,And culture is there 😂😂😂😂😂 no talk giving only the ears,and <person> is there face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy no talk giving only the ears
2859,Others,Kenyan_slang,0,2025-10-04T13:46:16Z,Neutral,General Others,Bbvvn,bbvvn
2860,Cyberbullying,Kenyan_slang,0,2025-09-14T20:20:58Z,Negative,Direct Insult,Obinna we ni fala sana unaaribu interview ya boy wetu next time ukijaribu tutakusalimia,<person> we ni fala sana unaaribu interview ya boy wetu next time ukijaribu tutakusalimia
2861,Constructive,Kenyan_slang,2,2025-08-10T20:02:22Z,Neutral,Genuine feedback,It's not right to kuharibia a person jina and expect him/her kukosa kujitetea so I am team Hannah all the way,its not right to kuharibia a person jina and expect himher kukosa kujitetea so i am team <person> all the way
2862,Offensive,Kenyan_slang,0,2025-08-05T19:50:35Z,Negative,Non-personal,Mko na ujingaa,mko na ujingaa
2863,Offensive,English,1,2025-07-29T21:04:32Z,Negative,Vulgar language (Matusi),This is total nonsense why invite someone on the interview and get someone on board for such nonsense,this is total nonsense why invite someone on the interview and get someone on board for such nonsense
2864,Irony,Kenyan_slang,0,2025-07-24T21:15:39Z,Negative,Mock compliment,1:38:22 😂😂😂😂 aah mimi hapo siko😅😅😅,1:38:22 face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aah mimi hapo siko grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
2865,Constructive,Kenyan_slang,0,2025-07-24T13:28:31Z,Neutral,Genuine feedback,"That Sabrina gal started all this,it was their interview na hawange mention names,wangeacha islide...if i were Hannah,ningereact hivo tu... That Sabrina is one bitter soul!","that <person> gal started all this,it was their interview na hawange mention names,wangeacha islide...if i were <person>,ningereact hivo tu... that <person> is one bitter soul!"
2866,Constructive,Kenyan_slang,0,2025-07-19T21:21:22Z,Neutral,Genuine feedback,I need prayers 🙏😂,i need prayers folded_hands face_with_tears_of_joy
2867,Constructive,English,0,2025-07-19T07:49:09Z,Positive,Supportive Speech,"This is just a story, obviously Captain must defend  Hannah coz he is with her now. I can't trust anything Hannah says or provides without a lawyer going through them. Certificate and everything can be faked taking into account Hannah is rich and has money money,she can convince the fools with her documents and chats. Messages can be generated through Fake Messages App. Sabrina never wanted to speak about her past relationship,it was brought up through online chats and she responded maturely.","this is just a story, obviously <person> must defend <person> coz he is with her now. i cant trust anything <person> says or provides without a lawyer going through them. certificate and everything can be faked taking into account <person> is rich and has money money,she can convince the fools with her documents and chats. messages can be generated through fake messages app. <person> never wanted to speak about her past relationship,it was brought up through online chats and she responded maturely."
2868,Constructive,Kenyan_slang,1,2025-07-14T10:23:40Z,Positive,Genuine Praise,you nailed it broo,you nailed it broo
2869,Others,Kenyan_slang,0,2025-07-14T09:33:18Z,Neutral,Spam,😂😂😂😂😂nipeni likes if wamewabamba,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy nipeni likes if wamewabamba
2870,Constructive,English,0,2025-07-13T07:07:00Z,Positive,Genuine Praise,The guy is here for a comedy,the guy is here for a comedy
2871,Harmful,Kenyan_slang,0,2025-07-11T23:13:33Z,Negative,Disability,Sasa hio mbilikimo inaeza angusha Culture ? Someone should just gauge his/her wars .,sasa hio mbilikimo inaeza angusha <person> ? someone should just gauge hisher wars .
2872,Constructive,Kenyan_slang,0,2025-07-08T20:28:26Z,Neutral,Performance-based,Obina ii ni kitu ulikua umepanga na umekosea sabrina n culture coz wao hawakua wamekuja mabishano,<person> ii ni kitu ulikua umepanga na umekosea <person> n <person> coz wao hawakua wamekuja mabishano
2873,Constructive,Kenyan_slang,0,2025-07-08T04:21:44Z,Neutral,Genuine feedback,UYU WA RED ANAKAA ALIKUA NAYO TU,uyu wa red anakaa alikua nayo tu
2874,Irony,Kenyan_slang,1,2025-07-07T21:23:35Z,Negative,Mock compliment,Alienda kukuliwa Dubai...and now the cowife is bitter😂😂😂😂,alienda kukuliwa dubai...and now the cowife is bitter face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2875,Offensive,Kenyan_slang,0,2025-07-06T12:39:23Z,Negative,Sex-based,😂😂😂😂mboro was jus chilling then boooom😂😂😂,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy mboro was jus chilling then boom face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2876,Offensive,Kenyan_slang,0,2025-07-05T01:29:12Z,Negative,Sex-based,Huyu msee ameshika gwatiiii kabla akuje hapa juu wee syo hivi,huyu msee ameshika gwatii kabla akuje hapa juu wee syo hivi
2877,Irony,Emoji,0,2025-07-01T19:59:14Z,Neutral,Mock Laughter,😂😂😂😂,face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2878,Constructive,English,0,2025-07-01T19:51:38Z,Neutral,Genuine feedback,Social media😢 never forgets,social media crying_face never forgets
2879,Irony,Kenyan_slang,0,2025-06-30T23:25:00Z,Negative,Mock compliment,FBI wueeh😂😂😂😂,fbi wueeh face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2880,Offensive,English,0,2025-06-30T06:25:47Z,Negative,Non-personal,this is stupid,this is stupid
2881,Constructive,Kenyan_slang,0,2025-06-27T22:41:41Z,Neutral,Genuine feedback,"apologies to that couple  ,, ujafanya poa🙂‍↔️🙂‍↔️","apologies to that couple ,, ujafanya poa head_shaking_horizontally head_shaking_horizontally"
2882,Constructive,Kenyan_slang,0,2025-06-27T17:27:12Z,Neutral,Genuine feedback,Na support Hannah..coz ako confidence na energetic...bt Sabrina a style up...,na support <person>..coz ako confidence na energetic...bt <person> a style up...
2883,Irony,Kenyan_slang,0,2025-06-26T18:04:03Z,Negative,Mock compliment,Wapi results za oasis ya hosi mlienda fast...hii kitu n ukweli hanna ulikua nayo😂😂😂😂😂😂😂alafu waaaaaah huku inje sio kuzuri na jamaa mwenyewe n AK47 na ako na wanawake hao wote😂😂😂😂😂,wapi results za oasis ya hosi mlienda fast...hii kitu n ukweli hanna ulikua nayo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy alafu waah huku inje sio kuzuri na jamaa mwenyewe n ak47 na ako na wanawake hao wote face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2884,Constructive,English,0,2025-06-21T13:17:35Z,Neutral,Performance-based,Very wrong!!!!never do this again Obinna kindly,very wrong!!never do this again <person> kindly
2885,Offensive,English,0,2025-06-13T21:50:22Z,Negative,Vulgar language (Matusi),Nonsense,nonsense
2886,Irony,Kenyan_slang,0,2025-06-12T12:48:08Z,Negative,Mock compliment,Hiyo ni kalli😅😅😅,hiyo ni kalli grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
2887,Irony,Kenyan_slang,0,2025-06-12T12:33:58Z,Neutral,Rhetorical Question,Hiyo kiss bana 😮,hiyo kiss bana face_with_open_mouth
2888,Constructive,Kenyan_slang,0,2025-06-11T09:41:06Z,Neutral,Genuine feedback,ii couple jamani 😂,ii couple jamani face_with_tears_of_joy
2889,Constructive,Kenyan_slang,0,2025-06-09T09:03:07Z,Neutral,Genuine feedback,"Hannah toa results za oasis...this were results for the second test.
Maybe Sabrina is right,who knows.","<person> toa results za oasis...this were results for the second test. maybe <person> is right,who knows."
2890,Cyberbullying,Kenyan_slang,0,2025-06-07T21:21:18Z,Negative,Direct Insult,Hannah benta you are so very silly,<person> benta you are so very silly
2891,Offensive,Kenyan_slang,0,2025-06-05T03:59:26Z,Neutral,Non-personal,The 2ladies yaani hawajipendi kabisaaaa.....sharing a man in the same room....wako too desperate,the 2ladies yaani hawajipendi kabisaa..sharing a man in the same room..wako too desperate
2892,Constructive,Kenyan_slang,0,2025-06-05T03:57:35Z,Neutral,Supportive Speech,Hata kama walipewa dawa na huyo mwanaume wao pia angepatiwa dawa..if not the cycle continues....,hata kama walipewa dawa na huyo mwanaume wao pia angepatiwa dawa..if not the cycle continues..
2893,Irony,Emoji,0,2025-06-03T22:00:16Z,Neutral,Mock Laughter,"😂😂😂😂😅😅😅  watching after 3weeks ,,,","face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat watching after 3weeks ,,,"
2894,Constructive,Kenyan_slang,0,2025-06-02T18:08:14Z,Neutral,Genuine feedback,Tunataka results za kisii. Sio za Agha Khan,tunataka results za kisii. sio za agha khan
2895,Constructive,Kenyan_slang,0,2025-06-02T18:07:27Z,Neutral,Performance-based,"Next time, please protect the interviewee.  You should have booked Hanna for another interview.  Waaaah!!","next time, please protect the interviewee. you should have booked hanna for another interview. waah!!"
2896,Irony,Kenyan_slang,1,2025-05-26T15:51:55Z,Negative,Mock Laughter,ZIET😂😂😂LOVE CULTURE 💓😂😂😂,ziet face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy love <person> beating_heart face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2897,Constructive,Kenyan_slang,0,2025-05-26T13:54:39Z,Positive,Genuine Praise,I like the guy😂😂😂 aka na vibe plus ako mature😊😊,i like the guy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy aka na vibe plus ako mature smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes
2898,Constructive,English,0,2025-05-26T10:07:28Z,Positive,Supportive Speech,"On that disease, I think it is misinformation. We need to understand STI, UTI and Candidiasis. In this case I think it was Candidiasis.","on that disease, i think it is misinformation. we need to understand sti, uti and candidiasis. in this case i think it was candidiasis."
2899,Constructive,Kenyan_slang,0,2025-05-24T20:53:34Z,Positive,Performance-based,Gosh! Obinna you need to apologize to us for making us watch such a dignity-less episode! You are killing your brand,gosh! <person> you need to apologize to us for making us watch such a dignity-less episode! you are killing your brand
2900,Others,English,0,2025-05-24T13:49:07Z,Neutral,General Inquiry,So culture is listening as if he has a woman here,so <person> is listening as if he has a woman here
2901,Harmful,Kenyan_slang,0,2025-05-24T13:35:54Z,Negative,Ethical/racial group (Tribalism),Haki hawa wakisii wetu watu Nyanchwa wanatuchomea kusinda Cosmoi Choi and Osoro combined,haki hawa wakisii wetu watu nyanchwa wanatuchomea kusinda cosmoi choi and osoro combined
2902,Constructive,Kenyan_slang,0,2025-05-24T12:39:18Z,Neutral,Genuine feedback,"Youngman,you have a long journey to go,you have a Kisii n a Luo woman n these very problematic ,you cannot leave one n enjoy your freedom","youngman,you have a long journey to go,you have a kisii n a luo woman n these very problematic ,you cannot leave one n enjoy your freedom"
2903,Offensive,Kenyan_slang,0,2025-05-24T12:05:16Z,Negative,Sex-based,Hiyo ya 3 some ndio tunataka,hiyo ya 3 some ndio tunataka
2904,Others,Kenyan_slang,0,2025-05-24T09:49:40Z,Neutral,General Inquiry,So Sabrina ndio drama queen who broke everything kwa huyu kijana???,so <person> ndio drama queen who broke everything kwa huyu kijana???
2905,Cyberbullying,Kenyan_slang,0,2025-05-21T08:17:45Z,Negative,Direct Insult,Hannah n takataka Tu tena ya kayole 😂😂😂😂,<person> n takataka tu tena ya kayole face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
2906,Constructive,Kenyan_slang,1,2025-05-20T11:03:20Z,Neutral,Genuine Praise,Culture is vibe men,<person> is vibe men
2907,Constructive,Kenyan_slang,0,2025-05-19T17:24:09Z,Neutral,Genuine feedback,I bet deep down culture alitoka hapa akisema Huyu Dame akoh naye Ni temporarily option,i bet deep down <person> alitoka hapa akisema huyu dame akoh naye ni temporarily option
2908,Offensive,Kenyan_slang,0,2025-05-19T08:39:08Z,Negative,Non-personal,a very useless episode obinna..hawa watu wa tiktok achana nao kabsaaaa..not educative.,a very useless episode <person>..hawa watu wa tiktok achana nao kabsaa..not educative.
2909,Offensive,Kenyan_slang,0,2025-05-19T08:02:51Z,Negative,Vulgar language (Matusi),mmeamua kutuletea 3vienyejiz  wa kucome kwa show😁,mmeamua kutuletea 3vienyejiz wa kucome kwa show beaming_face_with_smiling_eyes
2910,Others,Kenyan_slang,0,2025-05-18T06:54:27Z,Neutral,General Others,aaah heee,aaah heee
2911,Irony,Kenyan_slang,0,2025-05-18T05:07:24Z,Negative,Mock compliment,Something is just off about this interview 😂,something is just off about this interview face_with_tears_of_joy
2912,Irony,Kenyan_slang,1,2025-05-17T22:58:30Z,Negative,Mock Laughter,KENYAAAAAAA😅😂🤣,kenyaa grinning_face_with_sweat face_with_tears_of_joy rolling_on_the_floor_laughing
2913,Constructive,Kenyan_slang,0,2025-05-17T18:30:25Z,Neutral,Genuine feedback,"The show is okay,let everything That is hodden in the dark be exposed to moonlight.","the show is okay,let everything that is hodden in the dark be exposed to moonlight."
2914,Constructive,Kenyan_slang,0,2025-05-17T18:27:42Z,Neutral,Decision-criticism,Sabrina is lying.,<person> is lying.
2915,Constructive,English,0,2025-05-17T02:26:59Z,Neutral,Performance-based,"very boring host,..show was super dull,..","very boring host,..show was super dull,.."
2916,Offensive,Kenyan_slang,0,2025-05-16T21:47:15Z,Neutral,Non-personal,I thank my self for being a Kalenjin..we can't do this,i thank my self for being a kalenjin..we cant do this
2917,Constructive,Kenyan_slang,0,2025-05-16T17:17:10Z,Neutral,Performance-based,The world of usherati mungu wangu,the world of usherati mungu wangu
2918,Constructive,Kenyan_slang,0,2025-05-16T15:22:28Z,Neutral,Performance-based,To this now Obina umekosea uyo jamaa heshima.,to this now <person> umekosea uyo jamaa heshima.
2919,Constructive,Kenyan_slang,0,2025-05-15T21:36:56Z,Neutral,Performance-based,"Silence is the best weapon Hannah..coming here wasnt necessary,Obinna that wasnt fair to culture and his chick","silence is the best weapon <person>..coming here wasnt necessary,<person> that wasnt fair to <person> and his chick"
2920,Offensive,Kenyan_slang,0,2025-05-15T21:30:10Z,Negative,Vulgar language (Matusi),Kijana ni mushamba,kijana ni mushamba
2921,Irony,Kenyan_slang,1,2025-05-15T20:36:08Z,Negative,Mock compliment,Culture is like yooh hizi ni Gani sasa...no mata wati simuachi😅😅😅,<person> is like yooh hizi ni gani sasa...no mata wati simuachi grinning_face_with_sweat grinning_face_with_sweat grinning_face_with_sweat
2922,Constructive,English,0,2025-05-15T10:14:44Z,Positive,Genuine feedback,Must she raise her voice to drive a point.,must she raise her voice to drive a point.
2923,Cyberbullying,English,0,2025-05-14T20:58:33Z,Negative,Direct Insult,The lady on red is so thick headed,the lady on red is so thick headed
