,category,language,likes,published_at,sentiment,subcategory,text,clean_text
1697,Others,Sheng,0,2025-07-30T14:19:12Z,Neutral,General Others,"top shota 👊👊,","top shota oncomingfist oncomingfist ,"
1698,Constructive Criticism,English,1,2025-07-30T14:03:54Z,Positive,Genuine feedback,Captain Morgan 😂😂😂😂😂,<name> <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1699,Constructive Criticism,English,1,2025-07-30T14:02:44Z,Positive,Supportive Speech,Firsttime watching mahn😂,firsttime watching mahn facewithtearsofjoy
1700,Constructive Criticism,English,6,2025-07-30T14:02:44Z,Neutral,Genuine feedback,The more you dig in to the question the more you be confused 😂😂,the more you dig in to the question the more you be confused facewithtearsofjoy facewithtearsofjoy
1701,Cyberbullying,English,2,2025-07-30T14:02:11Z,Negative,Humiliation,Is anyone going to ask if these people are drug dealers? 😂😂😂,is anyone going to ask if these people are drug dealers ? facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1702,Constructive Criticism,Sheng,0,2025-07-30T13:47:32Z,Neutral,Corrective clarification,Huyu dem akibonga ndio unaeza tambua ni kashosho😅😅😅😅😅,huyu dem akibonga ndio unaeza tambua ni kashosho grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
1703,Constructive Criticism,Code Switching,4,2025-07-30T13:44:27Z,Neutral,Genuine Praise,59:06 hehe ... like a cute baby boy..............  nataka kususu,5906 hehe .. like a cute baby boy .. nataka kususu
1704,Constructive Criticism,Code Switching,2,2025-07-30T13:43:11Z,Neutral,Genuine Praise,Uyu dem kanafanana hii emoji ya  😊😊,uyu dem kanafanana <name> <name> <name> <name> <name> <name>
1705,Constructive Criticism,Code Switching,0,2025-07-30T13:39:43Z,Neutral,Corrective clarification,"Wedding ni 500Million 
Onions;Aje??
Patelo;Hivyo 😂🫴🫴",wedding ni 500million onionsaje ? ? patelohivyo facewithtearsofjoy palmuphandpalmuphand
1706,Constructive Criticism,English,0,2025-07-30T13:31:38Z,Positive,Supportive Speech,yes guys please hit 1 million subscribers. I've already subscribed💖💖💖💖💖,yes guys please hit 1 million subscribers . i ve already subscribed sparklingheart sparklingheart sparklingheart sparklingheart sparklingheart
1707,Others,Swahili,0,2025-07-30T13:31:20Z,Neutral,General Others,"😂😂😂 wako funny ,wanafurahishaaa😅","facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy wako funny , wanafurahishaa grinningfacewithsweat"
1708,Constructive Criticism,Code Switching,0,2025-07-30T13:20:35Z,Neutral,Supportive Speech,"Mentor,Msanii,youth leader, Wueh 😂","mentor , msanii , youth leader , wueh facewithtearsofjoy"
1709,Constructive Criticism,Sheng,0,2025-07-30T13:18:03Z,Neutral,Corrective clarification,Dee ako 29 na first born ako 21😂😂😂😂,<name> <name> <name> na first born ako 21 facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1710,Constructive Criticism,Swahili,0,2025-07-30T13:17:40Z,Neutral,Corrective clarification,Kama hawakuwa wanataka kufunguka walienda interview kufanya nini,kama hawakuwa wanataka <name> <name> interview kufanya nini
1711,Constructive Criticism,Code Switching,0,2025-07-30T13:11:58Z,Neutral,Performance-based,silver's makes no sound izo mabati umevaa zisikuchoche,silver s makes no sound izo mabati umevaa zisikuchoche
1712,Constructive Criticism,Sheng,0,2025-07-30T13:10:11Z,Neutral,Performance-based,galbladder yoo,galbladder yoo
1713,Constructive Criticism,Sheng,0,2025-07-30T13:00:38Z,Neutral,Genuine Praise,Si Kwa ubaya but hio sura sio ya 29   ni 39 👋,<name> <name> ubaya but hio <name> <name> <name> <name> <name> ni 39 wavinghand
1714,Constructive Criticism,Swahili,0,2025-07-30T13:00:39Z,Positive,Decision-criticism,Si Kwa ubaya but hio sura sio ya 29   ni 39 👋,<name> <name> ubaya but hio <name> <name> <name> <name> <name> ni 39 wavinghand
1715,Cyberbullying,English,1,2025-07-30T13:00:21Z,Negative,Threats,"Maybe she is on a mission, I don’t trust her iam sorry my opinion though","maybe she is on a mission , i do nt trust her iam sorry my opinion though"
1716,Constructive Criticism,Swahili,0,2025-07-30T12:53:49Z,Neutral,Performance-based,Kijana ameolewa,<name> <name>
1717,Constructive Criticism,Swahili,0,2025-07-30T12:53:11Z,Positive,Decision-criticism,"Jamaa amenichanganya bana,nimecheka karibu nimwage chai yangub na sukuma hapa.","jamaa amenichanganya bana , nimecheka karibu nimwage chai yangub na sukuma hapa ."
1718,Constructive Criticism,Code Switching,0,2025-07-30T12:47:53Z,Neutral,Corrective clarification,What is this guy chewing😅 na haishi kwa mdomo,what is this guy chewing grinningfacewithsweat na haishi kwa mdomo
1719,Cyberbullying,Sheng,6,2025-07-30T12:43:06Z,Negative,Misleading/Contextual Deception,Anyone from tiktok akuje tudinyane😂😂😂😂😂😂😂😂,anyone from tiktok akuje tudinyane facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1720,Constructive Criticism,English,0,2025-07-30T12:28:37Z,Positive,Genuine Praise,The best ❤❤❤I wish you all the best,the best redheart redheart redheart i wish you all the best
1721,Constructive Criticism,English,0,2025-07-30T12:25:31Z,Positive,Performance-based,"NO,the more you dig into the qestion the more you get confused😆😆😆😆😆. I can answer that question more further huyu jamaa ako fitty baaaaaana","no , the more you dig into the qestion the more you get confused grinningsquintingface grinningsquintingface grinningsquintingface grinningsquintingface grinningsquintingface . i can answer that question more further huyu jamaa ako fitty baana"
1722,Others,Swahili,0,2025-07-30T12:21:35Z,Neutral,General Inquiry,nani ana watch wednesday apige like😅,nani ana watch wednesday apige like grinningfacewithsweat
1723,Constructive Criticism,English,0,2025-07-30T12:07:17Z,Positive,Decision-criticism,DCI AND KRA    JOINED THE LIVE hehehe,dci and kra joined the live hehehe
1724,Constructive Criticism,Swahili,0,2025-07-30T11:54:09Z,Neutral,Genuine Praise,Mrembo ametulia vizuri,mrembo ametulia vizuri
1725,Constructive Criticism,Sheng,0,2025-07-30T11:53:34Z,Neutral,Supportive Speech,Nataka confidence ya huyu genz,nataka confidence <name> <name> genz
1726,Constructive Criticism,Swahili,0,2025-07-30T11:51:38Z,Neutral,Corrective clarification,I think this is dream come true for madame,i think this is dream come true for madame
1727,Constructive Criticism,Swahili,0,2025-07-30T11:45:14Z,Positive,Decision-criticism,Governor ama President 😂😂😂....hizo zingine amewaachia😂,governor ama president facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy .. <name> <name> amewaachia facewithtearsofjoy
1728,Constructive Criticism,Sheng,1,2025-07-30T11:43:09Z,Neutral,Corrective clarification,"Wazazi walikubali, strangers wanahate- Dunia ina mambo kweli😂😂😂 Congrats na Idumu","wazazi walikubali , strangers wanahate dunia ina mambo kweli facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy <name> na idumu"
1729,Constructive Criticism,English,0,2025-07-30T11:43:02Z,Positive,Genuine Praise,"CONGRATULATIONS for Partelo and Daina, Partelo interview was amazing","congratulations for <name> and <name> , <name> interview was amazing"
1730,Constructive Criticism,Swahili,0,2025-07-30T11:41:40Z,Positive,Genuine Praise,Aty yeye ni youth leader and a mentor 😅na hivo ndio watu wanaomoka😅😅,aty yeye ni youth leader and a mentor grinningfacewithsweat na hivo ndio watu wanaomoka grinningfacewithsweat grinningfacewithsweat
1731,Constructive Criticism,Code Switching,1,2025-07-30T11:34:44Z,Neutral,Decision-criticism,KRA wanafanya warm-up. 😄😄,kra wanafanya warm up . grinningfacewithsmilingeyes grinningfacewithsmilingeyes
1732,Constructive Criticism,Sheng,0,2025-07-30T11:28:34Z,Neutral,Decision-criticism,Mombo ya gen z ni ngumu wuuuue😂,<name> <name> <name> <name> ni ngumu wuue facewithtearsofjoy
1733,Constructive Criticism,Sheng,0,2025-07-30T11:28:28Z,Positive,Performance-based,"HAYAA, HII MOTORCADE ILINIPITA PALE MIHANGO KUMBE NI HUYU ALIKUWA AKIFANYA WEDDING","hayaa , hii motorcade ilinipita pale mihango kumbe ni huyu alikuwa akifanya wedding"
1734,Constructive Criticism,English,0,2025-07-30T11:21:47Z,Positive,Genuine Praise,Wenye tunawach kama hakuna traffic wapi likes 👍,<name> tunawach kama hakuna traffic wapi likes thumbsup
1735,Constructive Criticism,Sheng,0,2025-07-30T11:11:08Z,Positive,Genuine feedback,Anasukuma gunga acha kuhoji vitu zengine watu watafutwe na DCI,anasukuma gunga <name> <name> vitu zengine watu watafutwe na dci
1736,Constructive Criticism,Swahili,0,2025-07-30T11:08:21Z,Positive,Supportive Speech,"huwezi dumu na unafanya crime,, nice one 🌺🌺🌺","<name> <name> na unafanya crime , , nice one hibiscus hibiscus hibiscus"
1737,Constructive Criticism,English,1,2025-07-30T10:58:04Z,Neutral,Performance-based,I needed to understand.... And I did understand. He's a ghetto dude but his wisdom is lit! But for his sake and the sake of his wife and loved ones let him tone down the Captain Morgan otherwise it will tone him down!,i needed to understand .. and i did understand . he s a ghetto dude but his wisdom is lit ! but for his sake and the sake of his wife and loved ones let him tone down the <name> <name> otherwise it will tone him down !
1738,Constructive Criticism,Sheng,0,2025-07-30T10:52:53Z,Neutral,Decision-criticism,Nimezoea Zabeh lakini hii nayo ya patelo imeweza🎉,nimezoea zabeh lakini hii nayo ya patelo imeweza partypopper
1739,Constructive Criticism,Swahili,0,2025-07-30T10:52:33Z,Positive,Performance-based,Pesa wacha tu,pesa wacha tu
1740,Others,English,0,2025-07-30T10:49:53Z,Neutral,General Others,Bliss 😂😂😂😂😂😂😂,<name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1741,Constructive Criticism,English,0,2025-07-30T10:46:07Z,Positive,Decision-criticism,I wish them well. I am not a prophet of doom but this might not end well. They look gangish. I could be wrong.,i wish them well . i am not a prophet of doom but this might not end well . they look gangish . i could be wrong .
1742,Constructive Criticism,English,0,2025-07-30T10:44:13Z,Positive,Corrective clarification,So huyu bibi pia ni GENZ??,so huyu bibi pia ni genz ? ?
1743,Constructive Criticism,Swahili,0,2025-07-30T10:28:53Z,Neutral,Corrective clarification,The figures I swear 😂😂😂,the figures i swear facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1744,Constructive Criticism,Code Switching,0,2025-07-30T10:20:12Z,Neutral,Corrective clarification,"Obinna Kam macha, you're funny!!! Interview fulani...hata Churchill","<name> <name> macha , you re funny ! ! ! interview fulani .. hata <name>"
1745,Constructive Criticism,Code Switching,1,2025-07-30T10:19:37Z,Positive,Corrective clarification,Arsenall wuehhhh🎉,arsenall wuehh partypopper
1746,Constructive Criticism,Sheng,0,2025-07-30T10:16:23Z,Neutral,Corrective clarification,In my head am learning new sheng words nikizisahau…Maruchepe na machura Ndizo zimestick 😂,in my head am learning new sheng words <name> maruchepe na machura ndizo zimestick facewithtearsofjoy
1747,Constructive Criticism,Swahili,0,2025-07-30T10:16:11Z,Neutral,Performance-based,Dee English niya kidosi,<name> <name> niya kidosi
1748,Offensive,Swahili,0,2025-07-30T10:00:14Z,Positive,Genuine Praise,Partello ako na vibe sana😂😂😂😂😂😂,partello ako na vibe <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1749,Constructive Criticism,English,0,2025-07-30T09:46:50Z,Neutral,Genuine Praise,"The guy is intelligent, quick-witted &percepted; kudos🎉","the guy is intelligent , quick witted percepted kudos partypopper"
1750,Constructive Criticism,Swahili,0,2025-07-30T09:27:43Z,Negative,Decision-criticism,Mmi kwanzi siskii hii lugha,<name> <name> siskii hii lugha
1751,Constructive Criticism,Code Switching,0,2025-07-30T09:22:42Z,Neutral,Corrective clarification,mnipee username zao😂,mnipee username zao facewithtearsofjoy
1752,Constructive Criticism,Swahili,1,2025-07-30T09:20:51Z,Positive,Decision-criticism,wedding ime cost 500million weeeh 😂😂obinna hizi ni vitu una faa kucut pliz 😂😂😂,wedding ime cost 500million weeh facewithtearsofjoy facewithtearsofjoy <name> hizi ni vitu una faa kucut pliz facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1753,Others,Plain Emoji,0,2025-07-30T09:13:57Z,Neutral,General Others,😂😂😂,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1754,Constructive Criticism,Sheng,0,2025-07-30T09:03:14Z,Neutral,Genuine feedback,barshosho massive,barshosho massive
1755,Constructive Criticism,Swahili,0,2025-07-30T08:51:39Z,Neutral,Genuine Praise,Kama unawatch ukicheka 😅 piga like tukisonga,kama unawatch ukicheka grinningfacewithsweat piga like tukisonga
1756,Constructive Criticism,Sheng,0,2025-07-30T08:50:44Z,Positive,Performance-based,Napenda maboy wa ghetto ubaya ni pesa hawananga so imagine huyu ako na pesa😊,napenda maboy wa ghetto ubaya ni pesa hawananga so imagine huyu ako na pesa smilingfacewithsmilingeyes
1757,Constructive Criticism,Swahili,1,2025-07-30T08:50:19Z,Neutral,Performance-based,Kama unawatch ukichela piga like tukisonga,kama unawatch <name> <name> like tukisonga
1758,Constructive Criticism,Sheng,4,2025-07-30T08:48:59Z,Neutral,Genuine Praise,This lady is a gem bana,this lady is a gem bana
1759,Constructive Criticism,English,0,2025-07-30T08:37:46Z,Positive,Genuine Praise,Beautiful couple I enjoyed the interview ❤❤❤❤,beautiful couple i enjoyed the interview redheart redheart redheart redheart
1760,Constructive Criticism,Swahili,0,2025-07-30T08:35:31Z,Neutral,Decision-criticism,"18.00 Kutamani utatamani,si rahisi😂😂😂😂😂 vibess💯","18.00 kutamani utatamani , si rahisi facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy vibess hundredpoints"
1761,Constructive Criticism,Sheng,0,2025-07-30T08:30:17Z,Neutral,Decision-criticism,Huyu siakue running mate wa Babu,huyu siakue running mate wa babu
1762,Misinformation,English,1,2025-07-30T08:28:56Z,Positive,Performance-based,Management of ground 😂😂,management of ground facewithtearsofjoy facewithtearsofjoy
1763,Constructive Criticism,English,0,2025-07-30T08:26:08Z,Neutral,Corrective clarification,God fast prayer is the focus alafu piga bidi👏,god fast prayer is the focus alafu piga bidi clappinghands
1764,Constructive Criticism,English,1,2025-07-30T08:22:40Z,Positive,Decision-criticism,Aki Patelo si nimuongo😂😂😂😂,<name> <name> si nimuongo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1765,Constructive Criticism,English,0,2025-07-30T08:18:16Z,Positive,Decision-criticism,"Waiting for someone to translate all the sheng on this video, 😂","waiting for someone to translate all the sheng on this video , facewithtearsofjoy"
1766,Others,Swahili,0,2025-07-30T08:14:36Z,Neutral,General Others,ivo tu🫰😂,ivo tuhandwithindexfingerandthumbcrossed facewithtearsofjoy
1767,Constructive Criticism,English,0,2025-07-30T08:13:19Z,Positive,Corrective clarification,The most boring guests ever,the most boring guests ever
1768,Constructive Criticism,Swahili,1,2025-07-30T08:08:41Z,Neutral,Decision-criticism,Wapeleke huyu jamaa Rehab,wapeleke huyu jamaa rehab
1769,Cyberbullying,Sheng,0,2025-07-30T08:08:28Z,Neutral,Humiliation,"Vile nime invest na hii relationship 
Msiwaroge ❤",vile nime invest na hii relationship <name> <name>
1770,Constructive Criticism,English,0,2025-07-30T08:02:12Z,Neutral,Genuine Praise,I love this,i love this
1771,Constructive Criticism,Sheng,0,2025-07-30T08:00:27Z,Neutral,Genuine feedback,"Their so much to this couple than we know, a lot of theatrixx in the studio🤣. Nyinyi pia mjue kuficha white!","their so much to this couple than we know , a lot of theatrixx in the studio rollingonthefloorlaughing . nyinyi pia mjue kuficha white !"
1772,Constructive Criticism,English,5,2025-07-30T08:00:16Z,Positive,Genuine Praise,"This guy is so learned in life, 
He can make the difference.❤Patello to the 🌍","this guy is so learned in life , he can make the difference. redheart <name> to the globeshowingeuropeafrica"
1773,Constructive Criticism,English,0,2025-07-30T08:00:14Z,Neutral,Decision-criticism,This is a psy op.,this is a psy op .
1774,Constructive Criticism,Sheng,0,2025-07-30T07:59:45Z,Neutral,Genuine feedback,"In short kijanaa ameekwa na mumama wa Harrier. Shosh Mbilia Bel. Izo mabati ameeka kwa meno zinamsumbua, anashinda amenyonya meno. Ati amesema ni majambazi wa mtaa?!","in short kijanaa ameekwa na mumama wa harrier . <name> <name> <name> . izo mabati ameeka <name> <name> <name> , anashinda <name> <name> . ati amesema ni majambazi wa mtaa ? !"
1775,Cyberbullying,Sheng,1,2025-07-30T07:47:17Z,Negative,Direct Insult,Hatudai  madem maruchepe,hatudai madem maruchepe
1776,Constructive Criticism,Sheng,0,2025-07-30T07:45:38Z,Neutral,Genuine feedback,Handicap 8 is great gal,handicap 8 is great gal
1777,Cyberbullying,Sheng,0,2025-07-30T07:43:57Z,Negative,Direct Insult,Kartelo akam aone msay apa amamulikisha,<name> akam aone msay apa amamulikisha
1778,Constructive Criticism,Swahili,0,2025-07-30T07:38:52Z,Neutral,Corrective clarification,Obina u3lewi kitu,<name> u3lewi <name>
1779,Constructive Criticism,English,0,2025-07-30T07:38:06Z,Positive,Decision-criticism,Why do you look shy Obinna?,why do you look shy <name> ?
1780,Constructive Criticism,Swahili,2,2025-07-30T07:35:40Z,Positive,Decision-criticism,Wakenya bana 😂❤❤,wakenya bana facewithtearsofjoy redheart redheart
1781,Constructive Criticism,English,0,2025-07-30T07:31:30Z,Neutral,Genuine feedback,the only OBINA show I have ever watched to the end,the only obina show i have ever watched to the end
1782,Constructive Criticism,Swahili,0,2025-07-30T07:12:21Z,Neutral,Decision-criticism,Hawa wako high kabisaa. Aty 1st born 20 years😃😃😃😃,hawa wako high kabisaa . aty 1st born 20 years grinningfacewithbigeyes grinningfacewithbigeyes grinningfacewithbigeyes grinningfacewithbigeyes
1783,Constructive Criticism,Swahili,0,2025-07-30T07:11:43Z,Neutral,Decision-criticism,Atii 500M hyo ni uwongo 😂,atii 500 m hyo ni uwongo facewithtearsofjoy
1784,Constructive Criticism,Swahili,0,2025-07-30T06:48:16Z,Neutral,Decision-criticism,Obina i want you to host a muslim shekh name idris from kibra we want him to tell us about uridhi ya mtoto wa nje ya ndoa,<name> i want you to host a muslim shekh name <name> from kibra we want him to tell us about <name> <name> <name> wa <name> <name> <name>
1785,Constructive Criticism,English,1,2025-07-30T06:43:32Z,Neutral,Decision-criticism,Where is this money coming from?😂😂😂😂,where is this money coming from ? facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1786,Constructive Criticism,Swahili,1,2025-07-30T06:42:16Z,Neutral,Decision-criticism,Obizzy na wewe ushinde apa ukifuata Amberay badala utafute Diana wako mwenye mang'ondo,obizzy na wewe ushinde apa ukifuata <name> <name> utafute <name> wako mwenye mangondo
1787,Others,Plain Emoji,0,2025-07-30T06:37:39Z,Positive,General Inquiry,❤❤❤❤❤,redheart redheart redheart redheart redheart
1788,Constructive Criticism,English,0,2025-07-30T06:34:23Z,Neutral,Genuine feedback,"The guy is very masculine, most men get upset with women for choosing bad boys but the reason women choose bad boys hata gang members is that the exude masculinity, leadership and they are very loving, provider mentality Pia hata Kama hana a corporate job. But patana na hizi sampuli ingine ego iko high no leadership and a true leader knows he’s in charge hawa wana clue 😂 nko Australia rusheni mawe 😂😂😂😂","the guy is very masculine , most men get upset with women for choosing bad boys but the reason women choose bad boys hata gang members is that the exude masculinity , leadership and they are very loving , provider mentality pia hata <name> <name> a corporate job . but patana na hizi sampuli ingine ego iko high no leadership and a true leader knows he s in charge hawa wana clue facewithtearsofjoy nko australia rusheni mawe facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy"
1789,Constructive Criticism,Code Switching,0,2025-07-30T06:32:13Z,Neutral,Decision-criticism,As long as they're not thieves😂....wamenibamba😅,as long as they re not thieves facewithtearsofjoy .. <name> grinningfacewithsweat
1790,Constructive Criticism,Sheng,0,2025-07-30T06:31:52Z,Neutral,Corrective clarification,Mendoza queen of the south,mendoza queen of the south
1791,Constructive Criticism,English,0,2025-07-30T06:30:47Z,Neutral,Corrective clarification,Obinna you are the best😂😂😂,<name> you are the best facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1792,Others,Swahili,0,2025-07-30T06:25:48Z,Neutral,General Others,"Ukishasikia online work.
Jua tu ni washwash",ukishasikia online work . <name> <name> ni washwash
1793,Constructive Criticism,English,1,2025-07-30T06:24:44Z,Neutral,Performance-based,Anyone else who is just going through other people's comments like me here...🤚🤚,anyone else who is just going through other people s comments like me here .. raisedbackofhand raisedbackofhand
1794,Constructive Criticism,Code Switching,0,2025-07-30T06:17:12Z,Neutral,Supportive Speech,One thing na life ukionyeshana meno kwisha wewe. Mziza ni msmart uyu anaku shapre ya livity ukijua God alafu ujijue,one thing na life <name> <name> <name> wewe . <name> ni msmart uyu anaku shapre <name> <name> ukijua god alafu ujijue
1795,Constructive Criticism,Swahili,0,2025-07-30T06:12:10Z,Neutral,Performance-based,Obina leo umepatikana....,<name> leo umepatikana ..
1796,Constructive Criticism,Code Switching,0,2025-07-30T06:04:27Z,Neutral,Corrective clarification,Obina tuletee Prezzo Moulding from Ukambani,<name> tuletee <name> <name> from ukambani
1797,Constructive Criticism,English,0,2025-07-30T06:02:26Z,Neutral,Corrective clarification,The gal is 29 do she for a bay at 9yrs and the hubby was 6yrs .What a beautiful love story,the gal is 29 do she for a bay at 9yrs and the hubby was 6yrs .what a beautiful love story
1798,Constructive Criticism,English,0,2025-07-30T05:57:24Z,Neutral,Genuine Praise,And finally chuom mbaya ndio zao😂😂 no sugarcoating can hide the truth about the kind of hustle carried out by patello na mbongi yake in the wee hours of the night on the streets of Eastlands,and finally chuom mbaya ndio zao facewithtearsofjoy facewithtearsofjoy no sugarcoating can hide the truth about the kind of hustle carried out by <name> na mbongi yake in the wee hours of the night on the streets of eastlands
1799,Constructive Criticism,English,1,2025-07-30T05:56:52Z,Positive,Genuine Praise,He owned the interview,he owned the interview
1800,Constructive Criticism,Sheng,0,2025-07-30T05:44:17Z,Neutral,Genuine feedback,Mgenje,mgenje
1801,Constructive Criticism,Swahili,44,2025-07-30T05:38:57Z,Neutral,Corrective clarification,Nani amerudia  kuwawatch on Wednesday morning tukingojea zabe with kartelo and obbinna jioni😂😂😂❤❤❤,nani amerudia kuwawatch on wednesday morning tukingojea zabe with <name> and <name> <name> facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy redheart redheart redheart
1802,Constructive Criticism,Sheng,0,2025-07-30T05:38:52Z,Neutral,Decision-criticism,😂😂bois ni vibe...alafu huezi kuwa fan wa mancity na Arsenal😂😂,facewithtearsofjoy facewithtearsofjoy <name> <name> vibe .. <name> <name> <name> fan wa mancity na arsenal facewithtearsofjoy facewithtearsofjoy
1803,Constructive Criticism,Swahili,0,2025-07-30T05:35:29Z,Neutral,Corrective clarification,Dee hapa anajiskizia vile obinna analishwa mauongo na haezicheka 😂😂😂,<name> hapa anajiskizia vile <name> analishwa mauongo na haezicheka facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1804,Constructive Criticism,English,0,2025-07-30T05:31:54Z,Neutral,Genuine Praise,Interview and half💪🏾💪🏾💪🏾 with  patience and good vibes.🤣🤣 Never charge a book by the cover.👏🏾👏🏾👏🏾,interview and half flexedbiceps mediumdarkskintone flexedbiceps mediumdarkskintone flexedbiceps mediumdarkskintone with patience and good vibes . rollingonthefloorlaughing rollingonthefloorlaughing never charge a book by the cover. clappinghands mediumdarkskintone clappinghands mediumdarkskintone clappinghands mediumdarkskintone
1805,Constructive Criticism,Code Switching,0,2025-07-30T05:30:14Z,Neutral,Supportive Speech,Hustle ni gani ....that question hits so hard on this man 😂😂😂,<name> <name> <name> .. that question hits so hard on this man facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
1806,Constructive Criticism,English,0,2025-07-30T05:26:17Z,Neutral,Corrective clarification,I love the lies,i love the lies
1807,Constructive Criticism,English,0,2025-07-30T05:21:01Z,Neutral,Genuine Praise,Subtitles for us who don’t understand the lingo…😢,subtitles for us who do nt understand the lingo cryingface
1808,Constructive Criticism,Code Switching,0,2025-07-30T05:13:00Z,Neutral,Corrective clarification,Mapenzi real mapenzi posh watu real,mapenzi real mapenzi posh watu real
1809,Constructive Criticism,Code Switching,1,2025-07-30T04:56:32Z,Neutral,Genuine Praise,Mapenzi ya getto ni 💯 really not faking you can clearly see even the weeding kama itadumu itadumu simple 😂❤️❤️❤️❤️🔥,mapenzi <name> <name> <name> hundredpoints really not faking you can clearly see even the weeding kama itadumu itadumu simple facewithtearsofjoy redheart redheart redheart redheart fire
1811,Constructive Criticism,Code Switching,0,2025-07-30T04:43:33Z,Neutral,Corrective clarification,Nimewatcha  kumi❤❤❤❤❤❤❤❤,<name> <name> <name> redheart redheart redheart redheart redheart redheart redheart redheart
1812,Constructive Criticism,Swahili,0,2025-07-30T04:26:07Z,Neutral,Supportive Speech,Dee ana kiereere naobina utueke full video ya arusi,<name> <name> <name> naobina utueke full video <name> <name>
1813,Constructive Criticism,Swahili,1,2025-07-30T04:14:25Z,Neutral,Genuine Praise,The fact that madem na nguo zao za takataka hawakualikwa😂😂,the fact that madem na nguo zao za takataka hawakualikwa facewithtearsofjoy facewithtearsofjoy
1814,Constructive Criticism,Code Switching,0,2025-07-30T03:48:32Z,Neutral,Decision-criticism,This woman is very beautiful and very very old.  Ni Mjaja si Mnyamavu,this woman is very beautiful and very very old . <name> <name> si mnyamavu
1815,Constructive Criticism,English,0,2025-07-30T03:29:32Z,Neutral,Genuine feedback,The lady is clearly not 29...,the lady is clearly not 29 ..
1816,Constructive Criticism,Swahili,1,2025-07-30T01:56:10Z,Positive,Genuine feedback,Lakini bibi hayuko 29 ako 35 hivi😅😅😅😅,lakini bibi hayuko 29 ako 35 hivi grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat grinningfacewithsweat
1817,Irony/Sarcasm,Code Switching,10,2025-07-28T16:36:04Z,Positive,Hyperbolic understatement,Napenda hii couple but hapo kwa 29yrs nimekataaa.... 😂😂,napenda hii couple but <name> kwa 29yrs nimekataa .. facewithtearsofjoy facewithtearsofjoy
1818,Others,Sheng,0,2025-07-28T16:35:44Z,Neutral,General Others,rada zako wasingam,<name> <name> <name>
1819,Constructive Criticism,Sheng,0,2025-07-28T16:35:12Z,Positive,Genuine Praise,Izo chwom mbaya ndio zetuu😂😂,izo chwom mbaya <name> <name> facewithtearsofjoy facewithtearsofjoy
1820,Constructive Criticism,Code Switching,0,2025-07-28T16:35:07Z,Positive,Genuine Praise,Nka shy😅,nka shy grinningfacewithsweat
1821,Constructive Criticism,Sheng,1,2025-07-28T16:34:43Z,Neutral,Decision-criticism,Ata kama ni dooh kuna shida zingine siwezi taka,<name> <name> ni dooh <name> <name> zingine siwezi taka
1822,Irony/Sarcasm,Swahili,0,2025-07-28T16:34:01Z,Neutral,Hyperbolic understatement,😂😂😂😂😂😂Hawa huwezi waelewa,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy hawa huwezi waelewa
1823,Constructive Criticism,Swahili,0,2025-07-28T16:33:34Z,Neutral,Supportive Speech,tumeingoja. salamia korir,tumeingoja . salamia korir
1824,Irony/Sarcasm,English,0,2025-07-28T16:33:32Z,Negative,Hyperbolic understatement,The wife looks 65😂,the wife looks 65 facewithtearsofjoy
1825,Constructive Criticism,English,8,2025-07-28T16:33:08Z,Neutral,Corrective clarification,"The more you dig in,the more you get confused","the more you dig in , the more you get confused"
1826,Constructive Criticism,Swahili,0,2025-07-28T16:33:04Z,Positive,Supportive Speech,Obina kuja busia,<name> <name> busia
